query,mean_atf,mean_delta_unconstrained,mean_j_eta,mean_ridi_unconstrained,mean_ridi_controlled,mean_utility_regret,n_nonzero_cells
CHEMBL.COMPOUND:CHEMBL1092067,0.2770348151186533,48.833333333333336,33.666666666666664,0.21517507487403428,0.16481733019143727,0.0009227034542782332,6
DRUGBANK:DB00608,0.6736151519046256,23.333333333333332,7.666666666666667,0.09961579508113365,0.03520653301858584,0.0006738022052419257,6
DRUGBANK:DB00936,0.6146387489235537,37.666666666666664,14.0,0.1875934193012245,0.07988160876432565,0.0009102450786191593,6
DrugCentral:1219,0.18555578940917286,62.833333333333336,50.5,0.24363175391932246,0.20398909235843307,0.0008750994688094495,6
DrugCentral:1402,0.45513537926328623,55.333333333333336,34.0,0.24206291295394286,0.12720032609769383,0.0009358192591725009,6
DrugCentral:1794,0.1266890106901211,79.66666666666667,68.66666666666667,0.34395948966550166,0.31125627928977767,0.0008808479651841084,6
DrugCentral:1968,0.25079847826470525,121.16666666666667,94.5,0.4340127009735615,0.3410372219730513,0.0009412463646158356,6
DrugCentral:2034,0.46989330945852686,47.333333333333336,26.0,0.2233418761236591,0.12225672497411215,0.0009275519227944197,6
DrugCentral:2240,0.19245631910105596,136.66666666666666,111.0,0.5059024767838778,0.4306461898544239,0.0009653876847835479,6
DrugCentral:2265,0.23126476987906974,61.333333333333336,48.166666666666664,0.21923256595132642,0.17326558282208163,0.0008492385939920113,6
DrugCentral:2303,0.38206821032964333,50.0,27.666666666666668,0.21771062765774027,0.14880933198750979,0.0008836639676827457,6
DrugCentral:2416,0.5256477201392455,36.5,16.5,0.1570691933243021,0.08015481947094052,0.00083559709303968,6
DrugCentral:2742,0.4462651755794996,52.833333333333336,28.833333333333332,0.23193514505152182,0.13769681105331594,0.0009455162775620923,6
DrugCentral:3569,0.20317288291812052,86.16666666666667,68.33333333333333,0.3957974011531033,0.33463494274581124,0.0009200998758096722,6
DrugCentral:4520,0.14035853977391508,147.5,125.0,0.574212266318303,0.5220761986177079,0.0009310575209652833,6
DrugCentral:616,0.38905834682655466,48.166666666666664,30.5,0.23460588769087332,0.14551237200645153,0.0009351506860700805,6
UMLS:C0000097,0.8601076445904031,18.333333333333332,3.5,0.09385366888309521,0.008607098109921805,0.0008278891136077188,6
UMLS:C0001771,0.8579439079439078,15.833333333333334,2.6666666666666665,0.0805279730758587,0.009602818892962939,0.0008977446526746767,6
UMLS:C0002697,0.939692265795207,18.5,1.5,0.08326311540574577,0.0039873751891788016,0.000803285736292327,6
UMLS:C0004754,0.8785563467811367,29.666666666666668,5.0,0.11310825796459582,0.013850971018426894,0.0008130558486961334,6
UMLS:C0006029,0.7120341883510021,23.666666666666668,5.833333333333333,0.08548819447548117,0.025270623230518114,0.0006659518749747018,6
UMLS:C0006054,0.7695415695415696,26.166666666666668,4.0,0.09213506839987738,0.021013084886985934,0.000630537382559844,6
UMLS:C0008223,0.6585834945694958,30.5,9.5,0.13264895301142623,0.04949254964891844,0.0007435134110108389,6
UMLS:C0009002,0.8138888888888888,20.833333333333332,5.5,0.0943720770560091,0.01352129739614181,0.0008341580283496628,6
UMLS:C0015180,0.9608262256431592,22.0,1.3333333333333333,0.07314849272117521,0.003324029232371909,0.00044693985288406164,6
UMLS:C0016710,0.8035323973080541,29.166666666666668,6.0,0.10657982587033264,0.021756762173611027,0.0007062155298904779,6
