p0,T1,T2,T3_limited,T4,median_MDROR_T1,T1_plus_T2
0.001,14,524,106,76,2.35,538
0.005,142,396,106,76,2.40,538
0.01,217,321,106,76,2.15,538
0.02,286,252,106,76,1.90,538
0.05,286,252,106,76,1.55,538
