original_name,rxcui,rxnorm_name,tty,ingredient_rxcui,ingredient_name,atc_rxclass_level4,atc_chembl_level5,chembl_id,drugbank_id,degree,pair_share_pct,resolution_status,notes
dextromethorph,3289,dextromethorphan,IN,3289,dextromethorphan,N06AX;R05DA,N07XX59;R05DA09,CHEMBL52440,DB00514,47,5.68,truncated_resolved_by_fuzzy,"exact lookup fails; normalized lookup returns 4 concepts (PIN 236146 polistirex, PIN 259262 tannate, PIN 267251 hydrochloride, IN 3289 base); ingredient taken as IN 3289"
diazepam,3322,diazepam,IN,3322,diazepam,N05BA,N05BA01,CHEMBL12,DB00829,4,0.48,resolved_exact,
diclofenac,3355,diclofenac,IN,3355,diclofenac,D11AX;M01AB;M02AA;S01BC,M01AB55;S01BC03;D11AX18;M01AB05;M02AA15,CHEMBL139,DB00586,2,0.24,resolved_exact,
dicyclomine,3361,dicyclomine,IN,3361,dicyclomine,A03AA,A03AA07,CHEMBL1123,DB00804,7,0.85,resolved_exact,
diphenhydramine,3498,diphenhydramine,IN,3498,diphenhydramine,D04AA;M01AE;R06AA,D04AA32;R06AA52;R06AA02,CHEMBL657,DB01075,4,0.48,resolved_exact,
donepezil,135447,donepezil,IN,135447,donepezil,N06DA,N06DA02,CHEMBL502,DB00843,5,0.6,resolved_exact,
doxazosin,49276,doxazosin,IN,49276,doxazosin,C02CA,C02CA04,CHEMBL707,DB00590,4,0.48,resolved_exact,
doxycycline,3640,doxycycline,IN,3640,doxycycline,A01AB;J01AA,A01AB22;J01AA02,CHEMBL1200699,,4,0.48,resolved_exact,no DrugBank ID via UniChem (ChEMBL-DrugBank cross-reference absent in UniChem despite DrugBank listing)
dutasteride,228790,dutasteride,IN,228790,dutasteride,G04CA;G04CB,G04CB02,CHEMBL1200969,DB01126,10,1.21,resolved_exact,
eletriptan,231049,eletriptan,IN,231049,eletriptan,N02CC,N02CC06,CHEMBL1510,DB00216,4,0.48,resolved_exact,
emtricitabine,276237,emtricitabine,IN,276237,emtricitabine,J05AF;J05AR,J05AF09,CHEMBL885,DB00879,4,0.48,resolved_exact,
enalapril,3827,enalapril,IN,3827,enalapril,C09AA,C09AA02,CHEMBL578,DB00584,6,0.73,resolved_exact,
entacapone,60307,entacapone,IN,60307,entacapone,N04BX,N04BX02,CHEMBL953,DB00494,5,0.6,resolved_exact,
ezetimibe,341248,ezetimibe,IN,341248,ezetimibe,C10AX;C10BA,C10AX09,CHEMBL1138,DB00973,5,0.6,resolved_exact,
famotidine,4278,famotidine,IN,4278,famotidine,A02BA,A02BA03;A02BA53,CHEMBL902,DB00927,10,1.21,resolved_exact,
fenofibrate,8703,fenofibrate,IN,8703,fenofibrate,C10AB;C10BA,C10AB05,CHEMBL672,DB01039,5,0.6,resolved_exact,
fentanyl,4337,fentanyl,IN,4337,fentanyl,N01AH;N02AB,N02AB03;N01AH01;N01AH51,CHEMBL596,DB00813,3,0.36,resolved_exact,
finasteride,25025,finasteride,IN,25025,finasteride,D11AX;G04CB,G04CB01;D11AX10,CHEMBL710,DB01216,7,0.85,resolved_exact,
fluconazole,4450,fluconazole,IN,4450,fluconazole,D01AC;J02AC,J02AC01;D01AC15,CHEMBL106,DB00196,6,0.73,resolved_exact,
fluoxetine,4493,fluoxetine,IN,4493,fluoxetine,N06AB,N06AB03,CHEMBL41,DB00472,2,0.24,resolved_exact,
fluvoxamine,42355,fluvoxamine,IN,42355,fluvoxamine,N06AB,N06AB08,CHEMBL814,DB00176,2,0.24,resolved_exact,
furosemide,4603,furosemide,IN,4603,furosemide,C03CA;C03CB,C03CA01,CHEMBL35,DB00695,5,0.6,resolved_exact,
gabapentin,25480,gabapentin,IN,25480,gabapentin,N02BF,N02BF01,CHEMBL940,DB00996,7,0.85,resolved_exact,
gemfibrozil,4719,gemfibrozil,IN,4719,gemfibrozil,C10AB,C10AB04,CHEMBL457,DB01241,3,0.36,resolved_exact,
glimepiride,25789,glimepiride,IN,25789,glimepiride,A10BB;A10BD,A10BB12,CHEMBL1481,DB00222,5,0.6,resolved_exact,
glipizide,4821,glipizide,IN,4821,glipizide,A10BB,A10BB07,CHEMBL1073,DB01067,6,0.73,resolved_exact,
glyceryl trini.,,,,4917,nitroglycerin,C01DA;C05AE,C01DA52;C05AE01;C01DA02,CHEMBL730,DB00727,6,0.73,unresolvable,"no RxNorm concept via exact (search=0) or normalized (search=2) lookup; intended concept is nitroglycerin (IN 4917; INN glyceryl trinitrate); string truncated at 15 chars. Approximate match returns 'glyceryl' (RxCUI 2531034), a different entity; ATC assigned manually (no RxClass mapping available)"
granisetron,26237,granisetron,IN,26237,granisetron,A04AA,A04AA02,CHEMBL289469,,7,0.85,resolved_exact,no DrugBank ID via UniChem (ChEMBL-DrugBank cross-reference absent in UniChem despite DrugBank listing)
haloperidol,5093,haloperidol,IN,5093,haloperidol,N05AD,N05AD01,CHEMBL54,DB00502,3,0.36,resolved_exact,
