pair_id,drug_a,drug_b,faers_coreports,faers_expected,obs_exp_ratio,min_detectable_ror,evidence_tier,n_anchor_drugs,both_pk_inert,excluded_clinical,name_defect_v1,faers_reports_a,faers_reports_b,rxcui_a,atc_a,drugbank_a,chembl_a,rxcui_b,atc_b,drugbank_b,chembl_b,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_ror1.5,frac_terms_equiv_ror2.0,frac_terms_equiv_ror3.0,gold_d3r_testable,gold_d3r_flagged,label_screen,label_evidence,d3_mechanism_hypotheses,d3_hypothesis_types,knowledge_state,recommended_use,paper5_role,clinical_anchor_status,clinical_anchor_type,clinical_anchor_source,clinical_anchor_locator,clinical_anchor_summary,clinical_anchor_concordance
ADDI2-0011,atenolol,clotrimazole,498.0,107.88698602828777,4.615941350603912,3.8,EXCLUDED_clinical,1,True,True,False,138293,15859,1202.0,C07AB;C07FB,DB00335,CHEMBL24,2623.0,A01AB;D01AC;G01AF,DB00257,CHEMBL104,158.0,2.893641655511674,9.612716107420631,12.1396643257525,0.1582278481012658,0.310126582278481,0.5316455696202531,True,False,no_label_signal,,1,transporter_inhibitor,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0012,chlorhexidine,citalopram,434.0,138.40540672427852,3.1357156506507304,4.1,EXCLUDED_clinical,1,False,True,False,19813,142007,2358.0,A01AB;B05CA;D08AC;D09AA;R02AA;S01AX;S02AA;S03AA,DB00878,CHEMBL790,2556.0,N06AB,DB00215,CHEMBL549,233.0,3.940297831073188,14.00243611730427,19.545539654632677,0.3090128755364807,0.3733905579399141,0.4377682403433476,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0013,atenolol,mupirocin,418.0,98.0227997781448,4.264314026390394,4.2,EXCLUDED_clinical,1,True,True,False,138293,14409,1202.0,C07AB;C07FB,DB00335,CHEMBL24,42372.0,D06AX;R01AX,DB00410,CHEMBL719,129.0,3.186092205908364,11.2581583466065,19.79916102463336,0.0852713178294573,0.2790697674418604,0.4806201550387597,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0014,dextromethorphan,mupirocin,407.0,46.235364259423,8.802785627822784,4.25,EXCLUDED_clinical,1,False,True,True,65230,14409,3289.0,N06AX;R05DA,DB00514,CHEMBL52440,42372.0,D06AX;R01AX,DB00410,CHEMBL719,159.0,3.546805903221318,8.886561095124264,11.65671664712382,0.0754716981132075,0.1320754716981132,0.3710691823899371,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0015,conjugated estrogens,methylphenidate,341.0,257.26121034061657,1.325501032777201,4.7,EXCLUDED_clinical,1,False,True,True,69479,75271,4099.0,G03CA;G03CC,,CHEMBL1201649,6901.0,N06BA,DB00422,CHEMBL796,93.0,3.4658951792698294,9.181196135731309,11.313919498098333,0.086021505376344,0.1505376344086021,0.3333333333333333,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0016,atenolol,chlorhexidine,324.0,134.78560149936726,2.40381759175902,4.85,EXCLUDED_clinical,1,True,True,False,138293,19813,1202.0,C07AB;C07FB,DB00335,CHEMBL24,2358.0,A01AB;B05CA;D08AC;D09AA;R02AA;S01AX;S02AA;S03AA,DB00878,CHEMBL790,179.0,2.956570684142899,11.279200809776098,17.954171485319844,0.329608938547486,0.3854748603351955,0.5027932960893855,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0017,hydrochlorothiazide,sevelamer,284.0,195.91797501792428,1.4495862361481493,5.25,EXCLUDED_clinical,1,False,True,False,254309,15661,5487.0,C03AA;C09DX;C09XA,DB00999,CHEMBL435,214824.0,V03AE,,CHEMBL5314349,60.0,3.4205740506025237,14.164752625767935,17.504713248986775,0.15,0.3,0.3833333333333333,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0018,metformin,sevelamer,214.0,350.592169003484,0.6103958357320679,6.3,EXCLUDED_clinical,1,False,True,False,455082,15661,6809.0,A10BA;A10BD,DB00331,CHEMBL1431,214824.0,V03AE,,CHEMBL5314349,36.0,5.400903378090736,15.02371077636544,16.67202632733041,0.1388888888888889,0.1944444444444444,0.25,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0019,spironolactone,sevelamer,213.0,108.96213123644918,1.9548075793211803,6.3,EXCLUDED_clinical,1,False,True,False,141437,15661,9997.0,C03DA,DB00421,CHEMBL1393,214824.0,V03AE,,CHEMBL5314349,50.0,3.5396642330757304,8.678680817560924,12.697258944924146,0.12,0.22,0.42,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0020,hydrocodone,zaleplon,158.0,18.07661845456457,8.74057282323747,7.75,EXCLUDED_clinical,1,False,True,False,224891,1634,5489.0,N02AJ;R05DA,DB00956,CHEMBL1457,74667.0,N05CF,DB00962,CHEMBL1521,27.0,3.2537929975748967,9.00768187945735,9.641762378020074,0.1481481481481481,0.2222222222222222,0.4814814814814814,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
