drug,degree
sevelamer,150
ustekinumab,138
dalteparin,82
atenolol,75
levetiracetam,75
liraglutide,71
heparin,61
hydrocodone,50
dextromethorphan,44
conjugated estrogens,32
citalopram,30
chlorpheniramine,26
lactulose,12
