replicate,n_pairs_per_class,positive_coverage,graphban_auc_matched,degree_only_auc_matched
0,454,0.3311451495258935,0.9961332453569834,0.5116196704768189
1,454,0.3311451495258935,0.9962496846435988,0.5082599118942731
2,454,0.3311451495258935,0.9963079042869063,0.5088251275980515
3,454,0.3311451495258935,0.996429195210464,0.5109137573017135
4,454,0.3311451495258935,0.9961041355353295,0.5097711968018009
5,454,0.3311451495258935,0.9963661239302141,0.5083423897222924
6,454,0.3311451495258935,0.9961283937200411,0.5090895418114072
7,454,0.3311451495258935,0.9963418657455025,0.5107560791010887
8,454,0.3311451495258935,0.9962642395544257,0.5110229191329154
9,454,0.3311451495258935,0.9964825632168294,0.5098391197189931
10,454,0.3311451495258935,0.9964486017582332,0.5101156630247046
11,454,0.3311451495258935,0.9963127559238486,0.5093879174833589
12,454,0.3311451495258935,0.9961089871722719,0.5068650662733606
13,454,0.3311451495258935,0.9963370141085602,0.5111587649673
14,454,0.3311451495258935,0.9963515690193872,0.5087887403209843
15,454,0.3311451495258935,0.9963273108346756,0.5088760697859458
16,454,0.3311451495258935,0.9963418657455025,0.5087596304993304
17,454,0.3311451495258935,0.9963079042869064,0.5081847115216674
18,454,0.3311451495258935,0.9962642395544257,0.5098730811775893
19,454,0.3311451495258935,0.9964777115798871,0.5110083642220885
20,454,0.3311451495258935,0.9965650410448486,0.5097008480661375
21,454,0.3311451495258935,0.9964340468474063,0.5085801199324652
22,454,0.3311451495258935,0.9967202934270023,0.5114183275437132
23,454,0.3311451495258935,0.9965116730384832,0.5098779328145316
24,454,0.3311451495258935,0.9962545362805411,0.512354693473578
25,454,0.3311451495258935,0.9964437501212909,0.5092811814706282
26,454,0.3311451495258935,0.9964194919365794,0.5073356750567641
27,454,0.3311451495258935,0.9963079042869064,0.5085243261076288
28,454,0.3311451495258935,0.9965407828601369,0.5104625550660793
29,454,0.3311451495258935,0.9962254264588872,0.5093976207572435
30,454,0.3311451495258935,0.996477711579887,0.5096013895088203
31,454,0.3311451495258935,0.9965892992295601,0.5094170273050128
32,454,0.3311451495258935,0.9966232606881562,0.507731083467562
33,454,0.3311451495258935,0.9963564206563295,0.5069645248306779
34,454,0.3311451495258935,0.9961041355353296,0.5107973180150983
35,454,0.3311451495258935,0.9962351297327718,0.5116463544800015
36,454,0.3311451495258935,0.9962011682741757,0.5116803159385976
37,454,0.3311451495258935,0.9962593879174834,0.5124177647538279
38,454,0.3311451495258935,0.9964874148537717,0.509868229540647
39,454,0.3311451495258935,0.9962448330066564,0.5089197345184265
40,454,0.3311451495258935,0.996380678841041,0.5095480215024549
41,454,0.3311451495258935,0.9962545362805411,0.5086989850375516
42,454,0.3311451495258935,0.9965068214015409,0.5085898232063498
43,454,0.3311451495258935,0.9962982010130218,0.5097323837062625
44,454,0.3311451495258935,0.9961283937200411,0.5091429098177725
45,454,0.3311451495258935,0.9964243435735217,0.5093612334801763
46,454,0.3311451495258935,0.9964486017582332,0.5106784529100118
47,454,0.3311451495258935,0.9964437501212909,0.5064793611364474
48,454,0.3311451495258935,0.9961526519047527,0.5087887403209842
49,454,0.3311451495258935,0.9962884977391372,0.51063236235906
50,454,0.3311451495258935,0.9963079042869063,0.5089731025247919
51,454,0.3311451495258935,0.9964097886626948,0.5079008907605426
52,454,0.3311451495258935,0.9960701740767335,0.5081095111490617
53,454,0.3311451495258935,0.9963370141085602,0.5086213588464747
54,454,0.3311451495258935,0.9960653224397911,0.5094146014865416
55,454,0.3311451495258935,0.9964534533951755,0.5079130198528984
56,454,0.3311451495258935,0.9964097886626948,0.50886394069359
57,454,0.3311451495258935,0.9964534533951755,0.5076558830949562
58,454,0.3311451495258935,0.9966329639620407,0.510154476120243
59,454,0.3311451495258935,0.9965116730384832,0.5073914688816007
60,454,0.3311451495258935,0.9963030526499641,0.5089100312445419
61,454,0.3311451495258935,0.9962884977391371,0.5088687923305323
62,454,0.3311451495258935,0.9958372955035029,0.509310291292282
63,454,0.3311451495258935,0.9962836461021949,0.510967125308079
64,454,0.3311451495258935,0.9961138388092143,0.5086189330280037
65,454,0.3311451495258935,0.9966281123250984,0.5103533932348774
66,454,0.3311451495258935,0.9962933493760796,0.508720817403792
67,454,0.3311451495258935,0.9965844475926178,0.5103097285023966
68,454,0.3311451495258935,0.9962399813697141,0.510394632148887
69,454,0.3311451495258935,0.9962351297327718,0.5095892604164646
70,454,0.3311451495258935,0.9962254264588872,0.5097493644355605
71,454,0.3311451495258935,0.9963030526499641,0.5065569873275243
72,454,0.3311451495258935,0.9966135574142716,0.5100162044673873
73,454,0.3311451495258935,0.996666925420637,0.5082113955248501
74,454,0.3311451495258935,0.9963564206563295,0.5113940693590018
75,454,0.3311451495258935,0.9965165246754255,0.5098124357158105
76,454,0.3311451495258935,0.9964437501212908,0.5089925090725611
77,454,0.3311451495258935,0.9962302780958295,0.5093491043878206
78,454,0.3311451495258935,0.9965262279493101,0.508512197015273
79,454,0.3311451495258935,0.9966232606881561,0.5096304993304741
80,454,0.3311451495258935,0.9965795959556755,0.5093830658464166
81,454,0.3311451495258935,0.9961332453569834,0.5090216188942149
82,454,0.3311451495258935,0.9962593879174833,0.5107051369131945
83,454,0.3311451495258935,0.9964728599429448,0.5074787983465622
84,454,0.3311451495258935,0.9965601894079062,0.5074982048943314
85,454,0.3311451495258935,0.9964097886626948,0.5101690310310699
86,454,0.3311451495258935,0.9963564206563295,0.5086941334006093
87,454,0.3311451495258935,0.9961720584525219,0.5096110927827049
88,454,0.3311451495258935,0.9963758272040987,0.511047177317627
89,454,0.3311451495258935,0.9962205748219449,0.5089367152477245
90,454,0.3311451495258935,0.9961041355353296,0.51056929107881
91,454,0.3311451495258935,0.9965019697645986,0.5087329464961478
92,454,0.3311451495258935,0.9963952337518679,0.5092544974674454
