seed,n_train,n_test_mapped,n_seen,n_matched,match_fraction,auc_random,auprc_random,auc_matched,auprc_matched,auc_drop,auprc_drop
0,14904,3727,3129,1929,0.6164908916586769,0.9970427881075408,0.9975007146099278,0.9407433296220065,0.9533282819195559,0.056299458485534304,0.044172432690371966
1,14912,3719,3115,1813,0.5820224719101124,0.9977395144397868,0.9980223427482876,0.9484590514848177,0.9613554043116205,0.04928046295496913,0.03666693843666713
2,14904,3727,3144,1778,0.5655216284987278,0.9975635161121146,0.9976841295110793,0.936248372496745,0.952003355596006,0.061315143615369605,0.0456807739150733
